Date,ID,Na,Mg,Al,Si,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Pb,BC,PM 2.5
3/5/2017/,69k,0.0385846609792505,0.00866527834984759,0.0184600981117393,0.0378492034939229,1.21605934610476,0.0485411692339092,0.0631122578590865,0.001851984351426,0.0207262749933954,0.00170796754370408,0.00291665591900357,0.0537517015534466,0.0111509693035247,0.00252754795433133,0.00581394322265364,0.00217320488029059,0.00759061613424603,2.62636083536694,9.17241012413938
5/5/2017/,70k,0.0460901837323944,0.00946880757154002,0.0128527427853897,0.0257540588222613,0.714401678707223,0.0239470875618128,0.0166425366189274,0.00198605606158568,0.0181742678693212,0.00163017416098479,0.00153227591020393,0.0348498753464395,0.00999476314781628,0.00135728207100935,0.00380302568427634,0.00131223505840035,0.00362873164108669,2.31699877479682,6.44997455024335
7/5/2017/,71k,0.0119615536710965,0.00456114479637182,0.0152712750616467,0.0375838576739722,0.300925779870454,0.045901160109763,0.018713797691092,0.00208089221090167,0.00273328868758494,0.00103065058913373,0.00154542857691816,0.032394835274499,0.00158859375508082,0.00160064374348128,0.00261723242724778,0.00101231913766097,0.00406834847277603,2.19592297718871,4.78939024799098
9/5/2017/,72k,0.00586078754887448,0.00270873314584461,0.00613360857011035,0.0165389365705686,0.26672221150473,0.0182055400067804,0.0170255426212552,0.0012391516438392,0.00257776710105398,0.00106959247382935,0,0.0155049916900439,0.000823925933973582,0.00157160566763524,0.00214945667912856,0.00136310610456093,0.0012327271405672,1.68294341124747,3.7061566303328
11/5/2017/,73k,0.606369722209712,0.105804607068348,0.0550571171914881,0.115395081720909,0.94132519269166,0.0873553305874887,0.201047922301039,0.00247095462078615,0.00693413425366495,0.00113864498505536,0.000565341850565711,0.0900391235792451,0.00361723951302003,0.00363203355115171,0.00458706076176727,0.00351285764492443,0.0254790483544443,2.94159396479253,10.5568497471356
13/5/2017/,74k,1.00094644718324,0.165420861787705,0.136260748268441,0.320940745188672,2.04552303457969,0.126436577550006,0.282428937119828,0.0129674408098776,0.056741713028006,0.00345169703446106,0.00243866678169643,0.146497380571597,0.0244283304529231,0.00196547572630871,0.00571425234583524,0.00367810174242217,0.00241812376208112,3.71809336118004,17.2381810721026
15/5/2017/,75k,0.0577988269402137,0.0122383160761468,0.0154072126718663,0.0399443580930949,0.401650707827834,0.0201347194195488,0.0596434274936669,0.00268641186989051,0.00350164849826386,0.00113316107224645,0,0.0241283040728044,0.000921267468302051,0.000584140548114695,0.00232684610319043,0.00162381839153089,0.0012138671879255,1.73890816142116,4.42358152328966
17/5/2017/,76k,0.0334899174732075,0.0135613234335958,0.0376631387464401,0.0994998466700461,0.83090611806552,0.0340784781666015,0.0641977308856435,0.0052480288339365,0.00401445011253205,0.00249732401267714,0.000408847759266732,0.0652600702309199,0.000808742392249282,0.00190704813158173,0.00765693918633123,0.00188348811862222,0.0057718321759123,3.14473085722004,8.09297206306039
19/5/2017/,77k,0.026109732602597,0.0142107722201398,0.0421012804591476,0.0988327863749963,1.46462879300067,0.0369065954183173,0.0918761587559546,0.0050448632314403,0.00874679513919639,0.00276793675572102,0.00210312268695146,0.0648570053677473,0.00296197610238675,0.00131935575460697,0.00686980317713835,0.0026238334191793,0.00464102241824274,3.31657398945328,9.64238110093315
21/5/2017/,78k,0.0126122803122338,0.00551928271546035,0.0165659930855123,0.0466322239975717,0.499403484907617,0.0283469511010267,0.0243727388832846,0.00217108305955642,0.00055626215976009,0.00134762287940177,0.000389666027950973,0.0351488903834243,4.98954696566677E-05,0.00160882355508352,0.00388590690044568,0.00135469740875439,0.00296616222989284,2.93554720370335,4.64462316128655
